Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area,Log_cases,Log_deaths,Label
Micronesia,23671,,60,,,,,1.0,201474.0,511.0,54967.0,467848.0,117489.0,Australia/Oceania,10.07200594918639,4.0943445622221,0
San Marino,23536,,122,,23276.0,,138.0,4.0,690509.0,3579.0,157634.0,4624732.0,34085.0,Europe,10.06628644284122,4.804021044733257,0
Timor-Leste,23418,,138,,23102.0,,178.0,,17101.0,101.0,278529.0,203391.0,1369429.0,Asia,10.06126023640867,4.927253685157205,0
Burkina Faso,22056,,396,,21596.0,,64.0,,998.0,18.0,248995.0,11265.0,22102838.0,Africa,10.001339952703633,5.981414211254481,0
Liechtenstein,21421,,89,,21294.0,,38.0,3.0,558027.0,2318.0,112457.0,2929559.0,38387.0,Europe,9.972127028252816,4.48863636973214,0
Gibraltar,20423,,111,,16579.0,,3733.0,,605952.0,3293.0,534283.0,15852213.0,33704.0,Europe,9.924416995717158,4.709530201312334,0
Grenada,19680,,238,,19358.0,,84.0,4.0,173430.0,2097.0,182981.0,1612523.0,113475.0,North America,9.887358170606245,5.472270673671475,0
Bermuda,18799,,160,,18632.0,,7.0,,303508.0,2583.0,1027337.0,16586270.0,61939.0,North America,9.841558955913962,5.075173815233827,0
Nicaragua,18491,,225,,4225.0,,14041.0,,2728.0,33.0,,,6779100.0,North America,9.825039406206987,5.41610040220442,0
South Sudan,18368,,138,,18115.0,,115.0,1.0,1581.0,12.0,410280.0,35313.0,11618511.0,Africa,9.818365299119293,4.927253685157205,0
Tajikistan,17786,,125,,17264.0,,397.0,,1786.0,13.0,,,9957464.0,Asia,9.786166909959585,4.8283137373023015,0
Equatorial Guinea,17229,,183,,16907.0,,139.0,5.0,11512.0,122.0,365697.0,244342.0,1496662.0,Africa,9.754349289532406,5.209486152841421,0
Tonga,16801,,13,,15638.0,,1150.0,,155927.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania,9.729193687429403,2.5649493574615367,0
Samoa,16607,,29,,1605.0,,14973.0,,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania,9.717579572206754,3.367295829986474,0
Monaco,16106,,67,,15992.0,,47.0,4.0,404846.0,1684.0,78646.0,1976875.0,39783.0,Europe,9.68694715235549,4.204692619390966,0
Dominica,15760,,74,,15673.0,,13.0,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America,9.66523036341187,4.30406509320417,0
Djibouti,15690,,189,,15427.0,,74.0,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa,9.660778845727078,5.241747015059643,0
Marshall Islands,15598,,17,,15528.0,,53.0,,259720.0,283.0,,,60057.0,Australia/Oceania,9.654897979890443,2.833213344056216,0
CAR,15368,,113,,15200.0,,55.0,2.0,3063.0,23.0,81294.0,16205.0,5016678.0,Africa,9.640042704448392,4.727387818712341,0
Gambia,12586,,372,,12189.0,,25.0,,4919.0,145.0,155686.0,60851.0,2558482.0,Africa,9.440340364086879,5.918893854273146,0
Saint Martin,12257,,63,,1399.0,,10795.0,7.0,308507.0,1586.0,112382.0,2828643.0,39730.0,North America,9.413852481341165,4.143134726391533,0
Vanuatu,12014,,14,,11976.0,,24.0,,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania,9.393827915410107,2.6390573296152584,0
Greenland,11971,,21,,2761.0,,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0,North America,9.39024233725137,3.044522437723423,0
Yemen,11945,,2159,,9124.0,,662.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0,Asia,9.38806805975991,7.677400430514807,1
Caribbean Netherlands,11672,,38,,10476.0,,1158.0,,438023.0,1426.0,30126.0,1130559.0,26647.0,North America,9.364948090202622,3.6375861597263857,0
Sint Maarten,11016,,91,,10905.0,,20.0,,250557.0,2070.0,62056.0,1411454.0,43966.0,North America,9.307104040408491,4.51085950651685,0
Eritrea,10189,,103,,10086.0,,0.0,,2782.0,28.0,23693.0,6470.0,3662244.0,Africa,9.229063985974285,4.634728988229636,0
Niger,9931,,312,,8890.0,,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0,Africa,9.203416456903359,5.7430031878094825,0
St. Vincent Grenadines,9589,,123,,9466.0,,0.0,,85961.0,1103.0,113703.0,1019292.0,111551.0,North America,9.16837188715368,4.812184355372417,0
Antigua and Barbuda,9106,,146,,8954.0,,6.0,1.0,91509.0,1467.0,18901.0,189943.0,99509.0,North America,9.116688815894728,4.983606621708336,0
Comoros,8998,,161,,8837.0,,0.0,,9916.0,177.0,,,907419.0,Africa,9.104757609401117,5.081404364984463,0
Guinea-Bissau,8953,,176,,8660.0,,117.0,6.0,4339.0,85.0,145231.0,70385.0,2063367.0,Africa,9.099743950634156,5.170483995038151,0
Liberia,8077,,294,,7768.0,,15.0,2.0,1522.0,55.0,139824.0,26356.0,5305117.0,Africa,8.996775795442296,5.683579767338681,0
Sierra Leone,7760,,126,,,,,,934.0,15.0,259958.0,31296.0,8306436.0,Africa,8.956737613177264,4.836281906951478,0
Chad,7678,,194,,4874.0,,2610.0,,441.0,11.0,191341.0,10988.0,17413580.0,Africa,8.946114375560743,5.267858159063328,0
British Virgin Islands,7305,,64,,,,,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America,8.8963143241848,4.1588830833596715,0
Cook Islands,7025,,2,,7012.0,,11.0,,399806.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania,8.857230494201946,0.6931471805599453,0
Saint Kitts and Nevis,6596,,47,,6547.0,,2.0,,122441.0,872.0,126931.0,2356203.0,53871.0,North America,8.794218683679489,3.8501476017100584,0
Turks and Caicos,6551,,38,,6491.0,,22.0,4.0,164842.0,956.0,611527.0,15387811.0,39741.0,North America,8.787372988731876,3.6375861597263857,0
Sao Tome and Principe,6281,,77,,6204.0,,0.0,,27587.0,338.0,29036.0,127530.0,227679.0,Africa,8.74528448245438,4.343805421853684,0
Palau,5988,,9,,5976.0,,3.0,,328416.0,494.0,69136.0,3791806.0,18233.0,Australia/Oceania,8.69751274553952,2.1972245773362196,0
St. Barth,5439,,6,,,,,,546908.0,603.0,78646.0,7908095.0,9945.0,North America,8.60135049942296,1.791759469228055,0
Nauru,5247,,1,,5075.0,,171.0,,481244.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania,8.565411763686711,0.0,0
Kiribati,5013,,18,,2703.0,,2292.0,3.0,40618.0,146.0,,,123419.0,Australia/Oceania,8.519789817263504,2.8903717578961645,0
Anguilla,3904,,12,,3879.0,,13.0,4.0,256336.0,788.0,51382.0,3373736.0,15230.0,North America,8.269756947532983,2.4849066497880004,0
Macao,3514,,121,,3391.0,4.0,2.0,,5264.0,181.0,7850.0,11760.0,667490.0,Asia,8.164510268747042,4.795790545596741,0
Saint Pierre Miquelon,3452,,2,,2449.0,,1001.0,1.0,599410.0,347.0,25400.0,4410488.0,5759.0,North America,8.146709052203319,0.6931471805599453,0
Wallis and Futuna,3427,,7,,438.0,,2982.0,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania,8.139440521874608,1.9459101490553132,0
Montserrat,1403,,8,,1376.0,,19.0,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America,7.246368080102461,2.0794415416798357,0
Diamond Princess,712,,13,,699.0,,0.0,,,,,,,Other,6.568077911411976,2.5649493574615367,0
Western Sahara,10,,1,,9.0,,0.0,,16.0,2.0,,,626161.0,Africa,2.302585092994046,0.0,0
MS Zaandam,9,,2,,7.0,,0.0,,,,,,,Other,2.1972245773362196,0.6931471805599453,0
